file_name,label,label_name
232.png,30,Beware of ice/snow
233.png,5,Speed limit (80km/h)
234.png,11,Right-of-way at the next intersection
235.png,2,Speed limit (50km/h)
236.png,13,Yield
237.png,21,Double curve
238.png,10,No passing for vehicles over 3.5 metric tons
239.png,30,Beware of ice/snow
240.png,12,Priority road
241.png,37,Go straight or left
242.png,8,Speed limit (120km/h)
243.png,0,Speed limit (20km/h)
244.png,38,Keep right
245.png,42,End of no passing by vehicles over 3.5 metric tons
246.png,28,Children crossing
247.png,16,Vehicles over 3.5 metric tons prohibited
248.png,21,Double curve
249.png,0,Speed limit (20km/h)
250.png,4,Speed limit (70km/h)
251.png,31,Wild animals crossing
252.png,13,Yield
253.png,27,Pedestrians
254.png,3,Speed limit (60km/h)
255.png,14,Stop
256.png,20,Dangerous curve to the right
257.png,2,Speed limit (50km/h)
258.png,1,Speed limit (30km/h)
259.png,32,End of all speed and passing limits
260.png,28,Children crossing
261.png,39,Keep left
262.png,10,No passing for vehicles over 3.5 metric tons
263.png,38,Keep right
264.png,38,Keep right
265.png,22,Bumpy road
266.png,26,Traffic signals
267.png,25,Road work
268.png,31,Wild animals crossing
269.png,3,Speed limit (60km/h)
270.png,41,End of no passing
271.png,20,Dangerous curve to the right
272.png,22,Bumpy road
273.png,20,Dangerous curve to the right
274.png,24,Road narrows on the right
275.png,29,Bicycles crossing
276.png,40,Roundabout mandatory
277.png,6,End of speed limit (80km/h)
278.png,31,Wild animals crossing
279.png,41,End of no passing
280.png,7,Speed limit (100km/h)
281.png,15,No vehicles
282.png,34,Turn left ahead
283.png,17,No entry
284.png,31,Wild animals crossing
285.png,19,Dangerous curve to the left
286.png,29,Bicycles crossing
287.png,5,Speed limit (80km/h)
288.png,17,No entry
289.png,35,Ahead only
290.png,6,End of speed limit (80km/h)
291.png,39,Keep left
292.png,13,Yield
293.png,3,Speed limit (60km/h)
294.png,17,No entry
295.png,3,Speed limit (60km/h)
296.png,33,Turn right ahead
297.png,24,Road narrows on the right
298.png,23,Slippery road
299.png,39,Keep left
300.png,24,Road narrows on the right
301.png,27,Pedestrians
302.png,29,Bicycles crossing
303.png,20,Dangerous curve to the right
304.png,1,Speed limit (30km/h)
305.png,38,Keep right
306.png,4,Speed limit (70km/h)
307.png,18,General caution
308.png,11,Right-of-way at the next intersection
309.png,3,Speed limit (60km/h)
310.png,2,Speed limit (50km/h)
311.png,38,Keep right
312.png,17,No entry
313.png,6,End of speed limit (80km/h)
314.png,5,Speed limit (80km/h)
315.png,27,Pedestrians
316.png,31,Wild animals crossing
317.png,16,Vehicles over 3.5 metric tons prohibited
318.png,30,Beware of ice/snow
319.png,27,Pedestrians
320.png,14,Stop
321.png,31,Wild animals crossing
322.png,42,End of no passing by vehicles over 3.5 metric tons
323.png,17,No entry
324.png,13,Yield
325.png,39,Keep left
326.png,0,Speed limit (20km/h)
327.png,36,Go straight or right
328.png,9,No passing
329.png,12,Priority road
330.png,11,Right-of-way at the next intersection
331.png,35,Ahead only
332.png,35,Ahead only
333.png,38,Keep right
334.png,39,Keep left
335.png,21,Double curve
336.png,22,Bumpy road
337.png,18,General caution
338.png,15,No vehicles
339.png,16,Vehicles over 3.5 metric tons prohibited
340.png,17,No entry
341.png,2,Speed limit (50km/h)
342.png,17,No entry
343.png,3,Speed limit (60km/h)
344.png,40,Roundabout mandatory
345.png,7,Speed limit (100km/h)
346.png,21,Double curve
347.png,27,Pedestrians
348.png,31,Wild animals crossing
349.png,13,Yield
350.png,19,Dangerous curve to the left
351.png,24,Road narrows on the right
352.png,22,Bumpy road
353.png,0,Speed limit (20km/h)
354.png,17,No entry
355.png,13,Yield
356.png,27,Pedestrians
357.png,0,Speed limit (20km/h)
358.png,42,End of no passing by vehicles over 3.5 metric tons
359.png,19,Dangerous curve to the left
360.png,7,Speed limit (100km/h)
361.png,35,Ahead only
362.png,27,Pedestrians
363.png,27,Pedestrians
364.png,23,Slippery road
365.png,35,Ahead only
366.png,8,Speed limit (120km/h)
367.png,38,Keep right
368.png,14,Stop
369.png,36,Go straight or right
370.png,1,Speed limit (30km/h)
371.png,20,Dangerous curve to the right
372.png,15,No vehicles
373.png,33,Turn right ahead
374.png,28,Children crossing
375.png,35,Ahead only
376.png,41,End of no passing
377.png,25,Road work
378.png,24,Road narrows on the right
379.png,5,Speed limit (80km/h)
380.png,4,Speed limit (70km/h)
381.png,35,Ahead only
382.png,31,Wild animals crossing
383.png,41,End of no passing
384.png,15,No vehicles
385.png,20,Dangerous curve to the right
386.png,0,Speed limit (20km/h)
387.png,2,Speed limit (50km/h)
388.png,22,Bumpy road
389.png,35,Ahead only
390.png,2,Speed limit (50km/h)
391.png,20,Dangerous curve to the right
392.png,26,Traffic signals
393.png,37,Go straight or left
394.png,42,End of no passing by vehicles over 3.5 metric tons
395.png,5,Speed limit (80km/h)
396.png,2,Speed limit (50km/h)
397.png,10,No passing for vehicles over 3.5 metric tons
398.png,21,Double curve
399.png,33,Turn right ahead
400.png,9,No passing
401.png,16,Vehicles over 3.5 metric tons prohibited
402.png,39,Keep left
403.png,9,No passing
404.png,24,Road narrows on the right
405.png,38,Keep right
406.png,14,Stop
407.png,24,Road narrows on the right
408.png,37,Go straight or left
409.png,42,End of no passing by vehicles over 3.5 metric tons
410.png,0,Speed limit (20km/h)
411.png,0,Speed limit (20km/h)
412.png,42,End of no passing by vehicles over 3.5 metric tons
413.png,9,No passing
414.png,7,Speed limit (100km/h)
415.png,5,Speed limit (80km/h)
416.png,8,Speed limit (120km/h)
417.png,20,Dangerous curve to the right
418.png,2,Speed limit (50km/h)
419.png,31,Wild animals crossing
420.png,20,Dangerous curve to the right
421.png,20,Dangerous curve to the right
422.png,32,End of all speed and passing limits
423.png,2,Speed limit (50km/h)
424.png,16,Vehicles over 3.5 metric tons prohibited
425.png,40,Roundabout mandatory
426.png,10,No passing for vehicles over 3.5 metric tons
427.png,41,End of no passing
428.png,16,Vehicles over 3.5 metric tons prohibited
429.png,14,Stop
430.png,42,End of no passing by vehicles over 3.5 metric tons
431.png,27,Pedestrians
432.png,28,Children crossing
433.png,42,End of no passing by vehicles over 3.5 metric tons
434.png,21,Double curve
435.png,39,Keep left
436.png,41,End of no passing
437.png,7,Speed limit (100km/h)
438.png,32,End of all speed and passing limits
439.png,37,Go straight or left
440.png,29,Bicycles crossing
441.png,33,Turn right ahead
442.png,30,Beware of ice/snow
443.png,10,No passing for vehicles over 3.5 metric tons
444.png,33,Turn right ahead
445.png,27,Pedestrians
446.png,14,Stop
447.png,29,Bicycles crossing
448.png,7,Speed limit (100km/h)
449.png,11,Right-of-way at the next intersection
450.png,27,Pedestrians
451.png,19,Dangerous curve to the left
452.png,41,End of no passing
453.png,9,No passing
454.png,11,Right-of-way at the next intersection
455.png,3,Speed limit (60km/h)
456.png,5,Speed limit (80km/h)
457.png,22,Bumpy road
458.png,41,End of no passing
459.png,17,No entry
460.png,16,Vehicles over 3.5 metric tons prohibited
461.png,6,End of speed limit (80km/h)
462.png,11,Right-of-way at the next intersection
463.png,6,End of speed limit (80km/h)
464.png,14,Stop
465.png,37,Go straight or left
466.png,16,Vehicles over 3.5 metric tons prohibited
467.png,19,Dangerous curve to the left
468.png,27,Pedestrians
469.png,27,Pedestrians
470.png,26,Traffic signals
471.png,5,Speed limit (80km/h)
472.png,8,Speed limit (120km/h)
473.png,15,No vehicles
474.png,25,Road work
475.png,30,Beware of ice/snow
476.png,12,Priority road
477.png,36,Go straight or right
478.png,9,No passing
479.png,0,Speed limit (20km/h)
480.png,28,Children crossing
481.png,6,End of speed limit (80km/h)
482.png,7,Speed limit (100km/h)
483.png,4,Speed limit (70km/h)
484.png,5,Speed limit (80km/h)
485.png,0,Speed limit (20km/h)
486.png,38,Keep right
487.png,28,Children crossing
488.png,24,Road narrows on the right
489.png,34,Turn left ahead
490.png,26,Traffic signals
491.png,2,Speed limit (50km/h)
492.png,21,Double curve
493.png,23,Slippery road
494.png,22,Bumpy road
495.png,3,Speed limit (60km/h)
496.png,4,Speed limit (70km/h)
497.png,7,Speed limit (100km/h)
498.png,5,Speed limit (80km/h)
499.png,26,Traffic signals
500.png,34,Turn left ahead
501.png,7,Speed limit (100km/h)
502.png,15,No vehicles
503.png,28,Children crossing
504.png,6,End of speed limit (80km/h)
505.png,8,Speed limit (120km/h)
506.png,22,Bumpy road
507.png,33,Turn right ahead
508.png,3,Speed limit (60km/h)
509.png,26,Traffic signals
510.png,28,Children crossing
511.png,36,Go straight or right
512.png,39,Keep left
513.png,35,Ahead only
514.png,10,No passing for vehicles over 3.5 metric tons
515.png,6,End of speed limit (80km/h)
516.png,15,No vehicles
517.png,7,Speed limit (100km/h)
518.png,7,Speed limit (100km/h)
519.png,30,Beware of ice/snow
520.png,7,Speed limit (100km/h)
521.png,13,Yield
522.png,22,Bumpy road
523.png,12,Priority road
524.png,20,Dangerous curve to the right
525.png,25,Road work
526.png,29,Bicycles crossing
527.png,39,Keep left
528.png,7,Speed limit (100km/h)
529.png,19,Dangerous curve to the left
530.png,9,No passing
531.png,25,Road work
532.png,17,No entry
533.png,20,Dangerous curve to the right
534.png,4,Speed limit (70km/h)
535.png,10,No passing for vehicles over 3.5 metric tons
536.png,39,Keep left
537.png,0,Speed limit (20km/h)
538.png,5,Speed limit (80km/h)
539.png,38,Keep right
540.png,1,Speed limit (30km/h)
541.png,41,End of no passing
542.png,39,Keep left
543.png,11,Right-of-way at the next intersection
544.png,31,Wild animals crossing
545.png,14,Stop
546.png,37,Go straight or left
547.png,35,Ahead only
548.png,36,Go straight or right
549.png,39,Keep left
550.png,42,End of no passing by vehicles over 3.5 metric tons
551.png,41,End of no passing
552.png,34,Turn left ahead
553.png,18,General caution
554.png,36,Go straight or right
555.png,23,Slippery road
556.png,12,Priority road
557.png,36,Go straight or right
558.png,16,Vehicles over 3.5 metric tons prohibited
559.png,2,Speed limit (50km/h)
560.png,29,Bicycles crossing
561.png,20,Dangerous curve to the right
562.png,35,Ahead only
563.png,34,Turn left ahead
564.png,1,Speed limit (30km/h)
565.png,12,Priority road
566.png,0,Speed limit (20km/h)
567.png,16,Vehicles over 3.5 metric tons prohibited
568.png,19,Dangerous curve to the left
569.png,20,Dangerous curve to the right
570.png,17,No entry
571.png,21,Double curve
572.png,38,Keep right
573.png,15,No vehicles
574.png,30,Beware of ice/snow
575.png,1,Speed limit (30km/h)
576.png,37,Go straight or left
577.png,19,Dangerous curve to the left
578.png,19,Dangerous curve to the left
579.png,13,Yield
580.png,22,Bumpy road
581.png,16,Vehicles over 3.5 metric tons prohibited
582.png,30,Beware of ice/snow
583.png,6,End of speed limit (80km/h)
584.png,24,Road narrows on the right
585.png,25,Road work
586.png,21,Double curve
587.png,40,Roundabout mandatory
588.png,36,Go straight or right
589.png,39,Keep left
590.png,14,Stop
591.png,0,Speed limit (20km/h)
592.png,40,Roundabout mandatory
593.png,29,Bicycles crossing
594.png,25,Road work
595.png,19,Dangerous curve to the left
596.png,27,Pedestrians
597.png,11,Right-of-way at the next intersection
598.png,23,Slippery road
599.png,30,Beware of ice/snow
600.png,20,Dangerous curve to the right
601.png,8,Speed limit (120km/h)
602.png,14,Stop
603.png,25,Road work
604.png,14,Stop
605.png,3,Speed limit (60km/h)
606.png,39,Keep left
607.png,37,Go straight or left
608.png,19,Dangerous curve to the left
609.png,17,No entry
610.png,0,Speed limit (20km/h)
611.png,16,Vehicles over 3.5 metric tons prohibited
612.png,25,Road work
613.png,3,Speed limit (60km/h)
614.png,35,Ahead only
615.png,26,Traffic signals
616.png,12,Priority road
617.png,22,Bumpy road
618.png,35,Ahead only
619.png,36,Go straight or right
620.png,35,Ahead only
621.png,13,Yield
622.png,13,Yield
623.png,7,Speed limit (100km/h)
624.png,1,Speed limit (30km/h)
625.png,10,No passing for vehicles over 3.5 metric tons
626.png,39,Keep left
627.png,13,Yield
628.png,21,Double curve
629.png,19,Dangerous curve to the left
630.png,30,Beware of ice/snow
631.png,7,Speed limit (100km/h)
632.png,21,Double curve
633.png,19,Dangerous curve to the left
634.png,22,Bumpy road
635.png,16,Vehicles over 3.5 metric tons prohibited
636.png,28,Children crossing
637.png,33,Turn right ahead
638.png,9,No passing
639.png,15,No vehicles
640.png,21,Double curve
641.png,18,General caution
642.png,6,End of speed limit (80km/h)
643.png,12,Priority road
644.png,25,Road work
645.png,29,Bicycles crossing
646.png,4,Speed limit (70km/h)
647.png,22,Bumpy road
648.png,22,Bumpy road
649.png,19,Dangerous curve to the left
650.png,19,Dangerous curve to the left
651.png,15,No vehicles
652.png,23,Slippery road
653.png,16,Vehicles over 3.5 metric tons prohibited
654.png,12,Priority road
655.png,26,Traffic signals
656.png,42,End of no passing by vehicles over 3.5 metric tons
657.png,6,End of speed limit (80km/h)
658.png,39,Keep left
659.png,11,Right-of-way at the next intersection
660.png,11,Right-of-way at the next intersection
661.png,4,Speed limit (70km/h)
662.png,10,No passing for vehicles over 3.5 metric tons
663.png,38,Keep right
664.png,1,Speed limit (30km/h)
665.png,30,Beware of ice/snow
666.png,8,Speed limit (120km/h)
667.png,29,Bicycles crossing
668.png,39,Keep left
669.png,0,Speed limit (20km/h)
670.png,35,Ahead only
671.png,15,No vehicles
672.png,9,No passing
673.png,10,No passing for vehicles over 3.5 metric tons
674.png,35,Ahead only
675.png,40,Roundabout mandatory
676.png,13,Yield
677.png,9,No passing
678.png,13,Yield
679.png,33,Turn right ahead
680.png,13,Yield
681.png,27,Pedestrians
682.png,13,Yield
683.png,10,No passing for vehicles over 3.5 metric tons
684.png,40,Roundabout mandatory
685.png,3,Speed limit (60km/h)
686.png,13,Yield
687.png,4,Speed limit (70km/h)
688.png,0,Speed limit (20km/h)
689.png,15,No vehicles
690.png,20,Dangerous curve to the right
691.png,26,Traffic signals
692.png,2,Speed limit (50km/h)
693.png,40,Roundabout mandatory
694.png,6,End of speed limit (80km/h)
695.png,24,Road narrows on the right
696.png,6,End of speed limit (80km/h)
697.png,19,Dangerous curve to the left
698.png,40,Roundabout mandatory
699.png,30,Beware of ice/snow
700.png,1,Speed limit (30km/h)
701.png,40,Roundabout mandatory
702.png,15,No vehicles
703.png,42,End of no passing by vehicles over 3.5 metric tons
704.png,32,End of all speed and passing limits
705.png,29,Bicycles crossing
706.png,34,Turn left ahead
707.png,39,Keep left
708.png,41,End of no passing
709.png,2,Speed limit (50km/h)
710.png,12,Priority road
711.png,18,General caution
712.png,19,Dangerous curve to the left
713.png,21,Double curve
714.png,24,Road narrows on the right
715.png,27,Pedestrians
716.png,6,End of speed limit (80km/h)
717.png,0,Speed limit (20km/h)
718.png,7,Speed limit (100km/h)
719.png,25,Road work
720.png,27,Pedestrians
721.png,1,Speed limit (30km/h)
722.png,24,Road narrows on the right
723.png,30,Beware of ice/snow
724.png,30,Beware of ice/snow
725.png,11,Right-of-way at the next intersection
726.png,18,General caution
727.png,40,Roundabout mandatory
728.png,24,Road narrows on the right
729.png,20,Dangerous curve to the right
730.png,37,Go straight or left
731.png,5,Speed limit (80km/h)
732.png,28,Children crossing
733.png,1,Speed limit (30km/h)
734.png,40,Roundabout mandatory
735.png,40,Roundabout mandatory
736.png,22,Bumpy road
737.png,5,Speed limit (80km/h)
738.png,6,End of speed limit (80km/h)
739.png,29,Bicycles crossing
740.png,29,Bicycles crossing
741.png,25,Road work
742.png,24,Road narrows on the right
743.png,9,No passing
744.png,0,Speed limit (20km/h)
745.png,26,Traffic signals
746.png,39,Keep left
747.png,35,Ahead only
748.png,3,Speed limit (60km/h)
749.png,3,Speed limit (60km/h)
750.png,35,Ahead only
751.png,3,Speed limit (60km/h)
752.png,41,End of no passing
753.png,20,Dangerous curve to the right
754.png,22,Bumpy road
755.png,3,Speed limit (60km/h)
756.png,13,Yield
757.png,15,No vehicles
758.png,6,End of speed limit (80km/h)
759.png,33,Turn right ahead
760.png,7,Speed limit (100km/h)
761.png,17,No entry
762.png,39,Keep left
763.png,31,Wild animals crossing
764.png,13,Yield
765.png,5,Speed limit (80km/h)
766.png,32,End of all speed and passing limits
767.png,14,Stop
768.png,24,Road narrows on the right
769.png,13,Yield
770.png,30,Beware of ice/snow
771.png,22,Bumpy road
772.png,25,Road work
773.png,27,Pedestrians
774.png,17,No entry
775.png,3,Speed limit (60km/h)
776.png,15,No vehicles
777.png,2,Speed limit (50km/h)
778.png,8,Speed limit (120km/h)
779.png,31,Wild animals crossing
780.png,1,Speed limit (30km/h)
781.png,1,Speed limit (30km/h)
782.png,40,Roundabout mandatory
783.png,32,End of all speed and passing limits
784.png,7,Speed limit (100km/h)
785.png,26,Traffic signals
786.png,42,End of no passing by vehicles over 3.5 metric tons
787.png,38,Keep right
788.png,18,General caution
789.png,2,Speed limit (50km/h)
790.png,33,Turn right ahead
791.png,2,Speed limit (50km/h)
792.png,30,Beware of ice/snow
793.png,30,Beware of ice/snow
794.png,33,Turn right ahead
795.png,1,Speed limit (30km/h)
796.png,38,Keep right
797.png,17,No entry
798.png,33,Turn right ahead
799.png,17,No entry
800.png,32,End of all speed and passing limits
801.png,41,End of no passing
802.png,12,Priority road
803.png,7,Speed limit (100km/h)
804.png,22,Bumpy road
805.png,41,End of no passing
806.png,23,Slippery road
807.png,37,Go straight or left
808.png,42,End of no passing by vehicles over 3.5 metric tons
809.png,24,Road narrows on the right
810.png,1,Speed limit (30km/h)
811.png,38,Keep right
812.png,23,Slippery road
813.png,6,End of speed limit (80km/h)
814.png,3,Speed limit (60km/h)
815.png,0,Speed limit (20km/h)
816.png,6,End of speed limit (80km/h)
817.png,21,Double curve
818.png,4,Speed limit (70km/h)
819.png,29,Bicycles crossing
820.png,36,Go straight or right
821.png,21,Double curve
822.png,33,Turn right ahead
823.png,33,Turn right ahead
824.png,28,Children crossing
825.png,1,Speed limit (30km/h)
826.png,25,Road work
827.png,19,Dangerous curve to the left
828.png,0,Speed limit (20km/h)
829.png,22,Bumpy road
830.png,18,General caution
831.png,34,Turn left ahead
832.png,28,Children crossing
833.png,37,Go straight or left
834.png,22,Bumpy road
835.png,41,End of no passing
836.png,42,End of no passing by vehicles over 3.5 metric tons
837.png,14,Stop
838.png,15,No vehicles
839.png,21,Double curve
840.png,19,Dangerous curve to the left
841.png,11,Right-of-way at the next intersection
842.png,24,Road narrows on the right
843.png,14,Stop
844.png,10,No passing for vehicles over 3.5 metric tons
845.png,0,Speed limit (20km/h)
846.png,30,Beware of ice/snow
847.png,9,No passing
848.png,13,Yield
849.png,41,End of no passing
850.png,5,Speed limit (80km/h)
851.png,17,No entry
852.png,1,Speed limit (30km/h)
853.png,40,Roundabout mandatory
854.png,30,Beware of ice/snow
855.png,25,Road work
856.png,32,End of all speed and passing limits
857.png,21,Double curve
858.png,23,Slippery road
859.png,7,Speed limit (100km/h)
860.png,19,Dangerous curve to the left
861.png,41,End of no passing
862.png,40,Roundabout mandatory
863.png,24,Road narrows on the right
864.png,11,Right-of-way at the next intersection
865.png,11,Right-of-way at the next intersection
866.png,29,Bicycles crossing
867.png,11,Right-of-way at the next intersection
868.png,32,End of all speed and passing limits
869.png,18,General caution
870.png,4,Speed limit (70km/h)
871.png,12,Priority road
872.png,25,Road work
873.png,32,End of all speed and passing limits
874.png,12,Priority road
875.png,17,No entry
876.png,42,End of no passing by vehicles over 3.5 metric tons
877.png,1,Speed limit (30km/h)
878.png,25,Road work
879.png,5,Speed limit (80km/h)
880.png,2,Speed limit (50km/h)
881.png,12,Priority road
882.png,1,Speed limit (30km/h)
883.png,0,Speed limit (20km/h)
884.png,9,No passing
885.png,16,Vehicles over 3.5 metric tons prohibited
886.png,17,No entry
887.png,12,Priority road
888.png,5,Speed limit (80km/h)
889.png,5,Speed limit (80km/h)
890.png,39,Keep left
891.png,1,Speed limit (30km/h)
892.png,35,Ahead only
893.png,11,Right-of-way at the next intersection
894.png,4,Speed limit (70km/h)
895.png,29,Bicycles crossing
896.png,17,No entry
897.png,41,End of no passing
898.png,31,Wild animals crossing
899.png,22,Bumpy road
900.png,10,No passing for vehicles over 3.5 metric tons
901.png,3,Speed limit (60km/h)
902.png,31,Wild animals crossing
903.png,33,Turn right ahead
904.png,33,Turn right ahead
905.png,3,Speed limit (60km/h)
906.png,15,No vehicles
907.png,34,Turn left ahead
908.png,17,No entry
909.png,21,Double curve
910.png,22,Bumpy road
911.png,14,Stop
912.png,13,Yield
913.png,35,Ahead only
914.png,41,End of no passing
915.png,41,End of no passing
916.png,35,Ahead only
917.png,26,Traffic signals
918.png,3,Speed limit (60km/h)
919.png,19,Dangerous curve to the left
920.png,38,Keep right
921.png,0,Speed limit (20km/h)
922.png,25,Road work
923.png,16,Vehicles over 3.5 metric tons prohibited
924.png,29,Bicycles crossing
925.png,41,End of no passing
926.png,15,No vehicles
927.png,8,Speed limit (120km/h)
928.png,33,Turn right ahead
929.png,36,Go straight or right
930.png,33,Turn right ahead
